Gene	High.2838c3.rep1.RNAseq.mm10.featureCounts.gene.txt	High_6499c4.rep2.RNAseq.mm10.featureCounts.gene.txt	High_6555c3.rep5.RNAseq.mm10.featureCounts.gene.txt	High_6556c4.rep7.RNAseq.mm10.featureCounts.gene.txt	High_6620c1.rep3.RNAseq.mm10.featureCounts.gene.txt	Low.6694c2.rep3.RNAseq.mm10.featureCounts.gene.txt	Low_2699c4.rep8.RNAseq.mm10.featureCounts.gene.txt	Low_6556c3.rep5.RNAseq.mm10.featureCounts.gene.txt	Low_6556c3.rep6.RNAseq.mm10.featureCounts.gene.txt	Low_6694c2.rep7.RNAseq.mm10.featureCounts.gene.txt
Zfp85	426	112	241	64	178	207	38	245	237	201
Scap	8682	6048	6833	4321	7389	8397	1110	6096	5551	5753
Zfp458	280	138	173	49	187	108	40	182	156	143
Fbxo41	42	10	0	3	2	18	0	14	7	6
Taf9b	447	218	434	162	452	300	39	425	247	142
BC051142	4	16	2	6	10	6	0	4	0	0
Ccdc148	146	45	92	18	76	96	6	91	211	127
A2ml1	377	336	414	187	374	117	52	48	0	0
Zfp941	55	32	40	26	38	30	4	10	5	0
BC031181	8193	2995	3665	1898	3666	7798	1045	5706	4521	6024
Baz2b	7287	2805	3355	1762	3404	5126	1015	3648	2974	3672
Tmem204	726	483	624	401	649	220	45	418	54	36
Primpol	1834	578	603	437	748	1387	295	1066	942	929
BC048507	2	0	0	0	0	2	0	0	0	2
Zfp456	166	77	109	40	93	151	34	194	151	99
Zfp738	966	448	473	285	524	516	183	944	901	783
Dis3l	2376	1298	1761	975	1614	2440	299	1978	1355	1643
Thnsl1	1859	815	918	427	1043	1395	324	792	758	847
Itga8	104	76	83	58	71	30	6	76	6	2
Pramel4	0	0	0	0	0	0	0	0	0	0
Tbx10	0	0	1	5	0	3	0	5	4	1
Slc35d2	2013	1193	1314	758	1414	1243	370	1094	883	571
Adamts13	99	84	117	49	95	21	8	17	0	0
Denn2b	2712	1622	1812	1272	1875	1716	234	901	666	518
Vkorc1l1	5998	2889	3662	1957	3883	6040	769	4158	2896	3118
Cstdc6	18	0	2	0	0	2	0	0	0	0
Hexdc	1521	910	1091	684	1016	996	209	662	715	560
Spag6	37	9	50	22	37	38	6	8	26	25
Plekha8	2091	988	1106	665	1186	2669	358	1379	949	2173
Defb29	0	0	0	0	0	0	0	0	0	0
Trpv1	0	4	20	0	8	1	0	5	0	2
Cyp2c23	1265	817	945	596	1084	294	70	182	4	0
Zscan22	841	298	400	247	419	655	95	421	312	323
AF067063	2	0	0	0	0	0	2	2	0	0
Ssxb2	0	0	0	0	0	0	0	0	0	0
Tas2r138	0	0	0	0	0	0	0	0	0	0
Tas2r143	4	6	0	4	6	0	2	8	3	0
Tas2r144	0	0	0	0	0	0	0	0	0	0
Ttyh1	106	71	82	35	73	101	10	32	18	41
Atp8b1	2631	2067	2595	1442	2684	979	678	1166	578	239
Mfsd4b5	16	26	14	7	26	8	4	18	6	3
Oxgr1	0	2	0	0	4	0	0	0	0	0
Tpm4	87797	34494	43251	24425	47050	119282	12907	76051	48777	73241
Lca5l	163	89	64	22	67	65	13	121	69	26
Wdr83os	4153	2292	2547	1604	2721	4051	797	3295	2657	2291
Tnip3	1239	311	329	199	334	496	48	962	1537	532
Gja6	24	10	8	10	2	27	2	6	7	2
Usp17ld	0	0	0	0	4	0	1	0	0	0
Chpf	6740	3587	3874	2500	4699	8015	869	5881	4406	4452
Dab2ip	13791	7045	8080	4943	8914	15049	1999	6810	5958	9043
Prss48	36	27	7	3	5	24	5	11	28	22
Sohlh1	0	0	4	0	0	2	0	6	0	0
Nsd3	13746	6050	7986	4346	8273	14766	2563	9364	6986	10687
Zfp950	3109	960	1589	708	1455	1159	321	1774	1583	991
Itprip	4142	2098	2415	1572	2642	7823	811	3324	2093	4874
Zfp239	2038	333	381	372	650	3050	182	2673	2482	1560
Prrxl1	0	0	0	2	0	0	0	0	0	0
Atp11c	4796	2636	3059	1504	3412	2245	777	2668	2089	2421
Spink7	0	0	0	0	0	0	0	0	0	0
Ephx4	147	104	133	77	129	28	15	73	44	3
Olfr576	0	0	0	0	0	0	0	0	0	0
Zfp36l2	44459	24833	31135	17472	30268	79226	5181	50632	33640	47315
Olfr279	0	0	0	0	0	0	0	0	0	0
Olfr221	0	0	0	0	0	0	0	0	4	0
Olfr218	0	0	0	0	0	0	0	0	0	0
Olfr1206	0	0	0	0	0	0	0	0	0	0
Mpzl1	7899	2807	3695	2120	3963	9629	1685	3311	3232	5071
2510009E07Rik	1381	1020	1161	608	1182	1910	154	1314	229	470
Rtel1	4159	2435	2801	1770	3024	3944	505	2959	2144	2060
Hecw2	653	477	591	327	592	118	67	279	32	49
Nckap5l	979	477	551	443	604	1964	205	774	350	1085
Tmem151a	3850	2143	2793	1586	2878	2514	536	3907	3852	1949
H2-K1	23170	16279	19525	12627	20299	16741	3325	34953	40585	14941
Eea1	14901	6757	8313	4361	8373	4095	1699	8896	5947	5926
Megf10	1667	251	348	218	539	3612	66	316	457	1469
Limch1	2253	1280	1874	1159	2027	467	176	331	12	0
Utp14b	1085	368	509	254	587	748	202	933	623	796
Ccdc9b	10470	4560	5532	3410	6317	10008	1218	3699	2301	3831
Pi4ka	10660	4831	6342	3710	6033	8977	2130	7280	6840	5258
Kdm2a	23535	8021	9641	5522	9938	24341	3359	14049	13414	17840
Nat8l	122	98	92	50	138	36	10	34	10	12
Nol4l	6603	3829	4418	2733	4595	9059	877	3071	2370	3867
Gp1bb	106	62	48	40	68	59	6	54	32	13
2610507B11Rik	42099	22161	26390	15863	28900	50679	7396	31171	27901	30289
Panx2	2	4	20	14	25	6	4	0	6	0
Zfp948	2495	1015	1306	683	1344	903	442	1923	1177	1251
Lmna	92888	40582	50500	29134	51452	125366	10775	102914	89234	93024
Hspa2	2487	986	1130	528	1304	3806	311	1467	2999	3112
Tdrd1	30	8	8	0	10	4	0	0	0	0
Rpl17	73352	36035	41627	25022	44281	94685	13515	72330	58361	65716
Tmem158	3254	566	634	352	676	6413	316	2823	2669	3134
Adgrg6	5404	2798	3455	1782	3627	2662	472	3205	3467	1616
Tro	194	124	159	84	113	36	15	92	10	4
Smg6	6443	2905	3634	2330	3818	8137	883	4579	3902	4258
Ccin	16	0	0	1	2	2	0	8	0	0
Defb22	0	0	0	0	0	0	0	0	0	0
Pram1	272	298	221	168	251	159	23	393	77	44
Fbxl12	1306	619	772	453	902	1949	170	1036	953	937
Nlrp14	0	0	0	0	0	0	0	0	0	0
AI413582	2106	1112	1325	789	1401	1561	192	968	935	1422
Bfsp2	0	0	16	0	0	0	0	0	0	0
Atg9b	7707	5523	6759	4210	6555	4661	1943	4639	1874	3016
Sirpb1a	158	83	101	91	124	56	17	179	2	8
Higd1c	0	0	0	0	0	0	0	0	0	0
Penk	1254	807	796	574	1022	466	76	514	163	82
Nup85	5087	2837	3476	2056	3652	5657	905	5873	4445	4022
Igfl3	0	0	0	0	0	0	0	0	0	0
Try5	274	50	62	14	18	281	56	22	5	102
Zfp457	30	22	8	4	17	3	1	12	9	1
Krt77	2	0	0	0	0	0	0	0	0	0
Krt87	189	144	283	152	239	57	37	85	36	9
Gm5414	0	0	0	0	0	0	0	1	0	0
Pcdhac1	6	0	0	0	0	0	0	0	0	0
Pcdhac2	2	0	0	14	2	4	5	16	2	0
Ghrhr	6	4	0	4	0	2	0	0	0	0
Osbpl8	5274	2516	3555	1736	3432	2778	598	3485	1956	2403
Ralgapa1	5415	2836	3208	1733	3439	3684	1047	5395	4491	4075
Erbb2	6736	4159	4231	3206	4513	8207	1050	5053	6585	6098
Kcnq2	5	6	12	8	24	11	1	5	2	2
Masp2	1462	1085	1329	751	1404	310	116	203	0	5
Tardbp	29490	9276	11568	6350	12580	25064	4341	23324	17813	22566
Cltc	49746	22094	27493	14726	28414	53377	9423	41035	28825	32470
Ankib1	8676	4018	4748	2561	5729	6578	1204	5523	3821	5128
Ttc41	262	113	114	90	147	77	17	110	52	55
Adamts7	2616	1429	1905	1168	1865	3164	233	1100	1433	1867
Arhgef11	7706	3835	4660	2893	4626	11791	950	5917	5887	6281
Mars1	8862	4494	5589	3266	5779	6720	967	6458	3902	3963
Slc5a12	0	0	1	0	0	0	0	0	0	0
Zc4h2	637	216	258	176	314	650	118	238	212	341
Atg9a	6567	4113	4778	2924	5308	4916	791	4038	3025	2684
Usp7	22708	9611	11752	6524	12283	19832	4297	14996	12556	12551
Ddx11	1924	833	913	638	1137	1841	367	1721	1366	1414
Brsk1	317	157	118	68	157	754	32	137	109	524
Rtn3	30949	12324	15651	9234	16917	38891	5302	23872	19312	22673
Cyp4x1	5	3	3	0	1	4	2	8	2	0
Pid1	2414	1570	2066	1248	1949	1328	130	1094	158	340
Tmem259	15445	8036	9493	6175	10434	9554	1318	8840	6385	6417
Rab3ip	4706	2352	2557	1588	2831	3303	605	2603	2266	2226
Ces5a	2	0	0	0	0	0	0	0	0	0
Sval3	0	0	0	0	0	0	0	0	0	0
Kdm2b	2605	1342	1606	917	1609	3107	304	2274	1871	2087
Rab11fip5	13476	8069	9475	5766	10084	17406	1461	10283	9703	11318
Dnmt3b	352	273	177	181	294	276	29	197	171	113
Senp7	2847	785	1012	647	1141	1915	550	1794	1660	1572
Ppp3r2	0	0	0	0	0	0	0	0	0	0
Fam170a	0	0	0	0	0	0	0	0	0	0
Crtc1	2688	1541	1644	1127	2084	3096	510	1995	1974	2040
Zfp386	3110	1316	1741	949	1805	1675	641	2639	2000	1575
Zfp619	432	164	176	105	245	303	48	244	223	246
Ckap2	3451	1375	1770	929	1908	3442	705	3344	2104	2151
Cyp2j11	0	0	0	0	0	0	0	0	0	0
Nlrp1a	51	42	52	40	59	58	4	169	14	22
Usp22	20433	10146	12411	7367	12273	36878	3875	12254	13961	16567
Git1	11936	6912	7923	5002	8166	16106	2719	9153	7975	10019
Nlrp4g	0	6	0	0	2	0	0	0	0	0
Fbll1	0	0	4	2	0	0	0	0	0	0
Slc13a5	233	138	264	83	188	57	36	32	0	0
Zfp366	86	70	114	32	100	20	0	123	16	0
A4galt	459	337	244	235	403	380	57	666	385	109
Rtp1	0	0	0	0	0	4	2	4	2	0
Psg22	30	14	0	8	2	4	0	3	0	0
AU018091	10	12	16	6	8	2	2	2	0	0
Rragb	34	18	66	1	38	6	6	51	60	10
9930012K11Rik	726	467	454	338	589	554	77	639	338	272
Scarf1	568	429	499	351	472	261	67	353	104	69
Gm5142	0	0	0	0	0	0	0	0	0	0
Clec4b2	0	0	0	0	0	0	0	4	2	0
Gnptab	6278	4131	5170	2878	5167	5393	1172	6271	5868	3468
Sgpp2	1848	928	1110	742	1421	1252	244	558	985	622
AA467197	500	592	480	301	557	1056	87	2073	541	443
Maml3	4500	1585	2082	1149	2018	4048	437	2157	1964	2478
Celsr2	1269	570	607	446	630	765	91	337	447	500
Frg2f1	198	63	111	78	95	96	20	94	53	31
Fam222a	72	52	65	40	96	58	8	12	5	6
Tmem178b	10	6	11	14	20	12	0	8	4	0
Slc28a1	10	14	2	4	0	2	0	5	0	0
Whamm	2969	1810	2197	1112	2267	2353	400	1646	1157	1102
Rexo5	522	216	277	130	261	505	62	458	347	306
Zfp560	1300	528	664	348	694	947	190	602	588	694
Gm5617	407	286	342	234	344	345	36	305	205	157
BC048562	0	0	0	0	0	0	0	0	0	0
Rhox8	0	0	0	0	0	0	0	0	0	0
Nlrp4e	0	6	0	2	4	0	0	0	0	2
Amigo1	2378	476	614	434	582	1722	105	738	816	1093
Cntnap2	28	10	2	0	18	8	0	16	0	1
Gprasp1	2487	1053	1421	748	1415	2002	221	1069	1022	1209
Tpgs2	1068	555	645	392	849	1077	187	1129	631	779
2610008E11Rik	1647	660	848	373	810	522	176	893	680	586
Nuak1	1410	862	1165	723	1279	915	152	870	624	321
Asap2	11138	5127	6135	3839	6901	17659	3026	13013	10955	13224
Actr3b	348	220	244	127	288	66	10	87	46	39
Scube3	144	50	84	45	98	59	5	41	49	16
Cxxc4	903	83	113	41	140	219	102	99	247	174
Pik3r6	381	351	314	186	254	230	28	518	64	43
Wapl	16083	5466	7061	3674	7505	11062	1827	10882	10726	11865
Cys1	956	641	692	500	777	705	248	796	862	590
Tacc2	12149	7286	8766	5199	8891	13050	1729	6437	4894	8258
Pigu	3728	1902	2240	1277	2096	4801	561	3171	2363	2195
Gpr158	16	16	2	2	10	18	0	6	2	28
Pla2g4c	84	18	29	34	76	38	6	64	38	41
Znhit3	694	385	535	298	425	988	134	885	541	506
Olfr1197	0	0	0	0	0	0	0	0	0	0
Olfr1200	0	0	0	0	0	0	0	0	0	0
Olfr1024	0	0	0	0	0	0	0	0	0	0
Dbx1	0	0	0	0	0	0	0	4	0	0
Hps5	3201	1768	1992	1227	2206	3445	424	2220	1552	1781
Ypel2	2282	953	1191	645	1235	2295	552	1344	1321	1377
Ypel4	119	47	53	45	75	55	8	27	28	33
Sp9	2	0	4	0	2	2	0	2	0	2
Zfp960	263	155	145	64	161	77	43	109	110	93
Spin2c	128	34	27	22	48	51	4	40	44	16
Pramel26	0	0	0	0	0	0	0	0	0	0
Ado	3742	1853	2697	1500	2444	4110	503	3638	2294	2518
Ppp1r26	340	74	107	64	100	901	8	46	68	349
Jaml	888	643	898	501	810	357	82	1479	113	126
Stmnd1	0	0	0	0	0	0	0	0	0	0
Mreg	451	280	406	227	262	166	33	450	59	61
Ajm1	24	18	31	12	28	45	4	26	10	27
Zfp663	0	0	0	0	0	0	0	0	0	0
Zcwpw1	740	188	225	99	280	482	70	215	222	231
Iqsec2	1629	824	1029	637	1094	2004	205	932	573	1222
Barhl2	0	8	0	2	0	0	0	0	0	0
Olfr132	0	0	0	0	0	0	0	0	0	0
Olfr111	2	12	2	2	16	7	2	7	2	0
Olfr467	0	0	0	0	0	0	0	0	0	0
Txlna	7931	4259	4663	2906	5176	8573	1170	6769	5106	6460
Smg7	7773	3632	4394	2657	5076	9273	1741	7450	5988	5191
Arhgap30	1439	1119	1120	909	1416	1252	122	2299	334	355
Eif2a	10478	4185	5001	2524	5119	8997	1524	9409	8955	6609
Syne2	24289	11009	13230	7313	13664	23843	5126	18877	22148	21460
Lmtk3	221	223	228	102	182	82	16	79	59	46
Olfr231	0	0	0	0	0	0	0	1	0	0
Olfr194	0	0	0	0	0	0	0	0	0	0
Rsrc2	12570	3851	5420	2585	5514	8250	1629	6973	5860	7088
Olfr1281	0	0	0	0	0	0	0	0	0	0
Olfr366	0	0	0	0	0	0	0	0	0	0
Olfr707	0	0	0	0	0	0	0	0	0	0
Aebp2	16607	5501	6714	3717	7146	15924	2390	9259	9183	13878
Itgb4	21774	12587	15020	9796	16215	38679	3392	21548	24730	29191
Phactr1	200	110	110	50	119	42	20	80	29	1
Parl	4791	2539	3491	2176	3491	5025	1135	5327	4529	2970
Patj	4224	3008	3793	2366	3637	3496	767	1661	1801	2720
Zfp69	285	205	128	163	236	176	26	127	100	141
Mcoln2	141	74	114	113	139	190	12	402	133	61
