Genes	neg1	neg2	neg3	neg4	pos_1	pos_2	pos_3	control_1	control_2
RP23-271O17.1	0	0	0	0	0	0	0	0	0
Gm26206	0	0	0	0	0	0	0	0	0
Xkr4	0	0	0	0	6	3	1	0	0
RP23-317L18.1	0	0	0	0	0	0	0	0	0
RP23-317L18.4	0	0	0	0	0	0	0	0	0
RP23-317L18.3	0	0	0	0	0	0	0	0	0
RP23-115I1.6	0	0	0	0	0	0	0	0	0
RP23-115I1.1	0	0	0	0	0	0	0	3	5
RP23-115I1.5	0	0	0	0	0	0	0	0	0
RP23-115I1.2	0	0	0	0	2	2	0	0	0
RP23-115I1.3	0	0	0	0	0	0	0	0	0
RP23-122M2.3	0	0	0	0	0	0	0	0	0
RP23-122M2.2	0	0	0	0	0	0	0	0	0
RP23-122M2.1	0	0	0	0	0	0	0	0	0
Gm27396	0	0	0	0	0	0	0	0	0
RP23-333I7.1	0	0	0	0	0	0	0	0	0
Rp1	0	0	0	0	26	16	0	12	1
RP23-177A20.1	0	0	0	0	1	0	1	0	0
RP23-391E12.2	0	0	0	0	0	0	0	0	0
Sox17	20	29	31	26	134	151	47	111	144
RP23-285G23.2	0	0	0	0	1	2	0	0	0
RP23-285G23.3	7	8	6	6	6	4	4	0	1
Gm22307	0	1	0	1	1	0	0	0	0
RP23-285G23.4	0	0	0	0	0	0	0	0	0
RP23-37D15.1	0	0	0	0	0	0	0	3	1
RP23-37D15.2	2	1	1	0	3	0	0	0	2
RP23-34E15.1	27	22	32	15	39	36	30	32	50
RP23-34E15.2	1	0	2	3	2	0	3	1	1
Gm25493	0	0	0	0	0	0	0	0	0
RP23-34E15.3	0	0	0	0	1	0	0	0	0
RP23-34E15.4	150	160	97	156	224	154	94	247	232
Mrpl15	1050	1191	1118	1207	920	703	943	1327	1526
RP23-34E15.5	3	8	15	11	7	10	4	2	6
Lypla1	1580	1303	1118	932	3963	2947	1748	1125	650
RP24-426M1.3	0	0	0	0	0	0	0	0	0
Tcea1	1172	1090	913	919	1825	1356	1476	1043	924
RP24-426M1.2	41	17	22	16	202	110	34	80	26
RP24-426M1.4	0	0	0	0	0	1	0	3	0
Rgs20	0	0	0	1	1	1	1	0	2
RP24-141F9.1	0	0	0	0	0	0	0	0	0
RP24-141F9.2	0	0	0	0	0	0	0	0	0
AC102242.1	0	0	0	0	0	0	0	0	0
