"","PS.rep1","PS.rep2","ART.rep1","ART.rep2","RS.rep2","RS.rep3"
"A1BG",0.207363,0.482983,0.374799,0.202017,0.853549,1.03412
"A1BG-AS1",0.0491372,1.43944,1.79981,0.350564,1.23094,0.935324
"A1CF",0.130057173978484,1.1737105977327,0.8690850129002,0.0812358616884,0.79928046191189,0.897017
"A2M",19.385298,19.238405,18.68972,44.14437,30.09833,45.413462
"A2M-AS1",0.281355,0.893548,0.165085,0.65234910651,0.833559,0.477063
"A2ML1",0.710848,0.961062,1.826297,2.36557,3.397091,1.054787
"A2MP1",0.183302,0.165267,0,0.270342,0.701166,0.200391
"A3GALT2",0.719756,1.59306,1.15927,0.69526,2.54599,3.07058
"A4GALT",3.566752246214,14.43898222406,20.888962240718,6.97607,13.27855306578,13.6526
"A4GNT",0.118123,0.160497,0,0,0.0500513,0.25772
"AA06",4.26173,0.361646,2.80743,14.1068,8.21784,6.42323
"AAAS",26.4627,31.8169000030535,33.1458,19.6984,21.868,26.31650167481
"AACS",56.68081,64.05464,48.41314,67.63318,63.5717,44.1169
"AACSP1",4.0977835,8.94183,9.69944,1.777943,6.36129,8.65188
"AADAC",0,2.38319,2.26556,0.419946,0.502468,0.143709
"AADACL2",0.248773,3.02082,3.19227,0.120674,1.20605,1.03466
"AADACL2-AS1",80.2008,47.6891,47.056,56.8383,37.6236,26.3691
"AADACL3",0.297154,0.532973,1.04006,1.79439,2.597696,1.95013
"AADACL4",1.34578,0.243519,0.614187,0.80076,0.399474,0.342743
"AADACP1",0.211141,1.14337,0.94654,3.71056,1.93706,3.32232
"AADAT",2.44355,1.684407,3.180687,5.052371,4.34263,4.690224
"AAED1",10.5693,11.5517,7.89978,14.2019,10.5812,13.4459
"AAGAB",56.34747,38.14429,40.2829,50.92527,32.74012,33.57779
"AAK1",2.28065,3.7644,2.53344,4.90939,3.21218,3.65501
"AAMDC",10.3592,25.240689,30.51662,27.28768,51.24374,54.42932
"AAMP",79.49725,71.59677,63.51352,25.35476,32.29381,33.95384
"AANAT",1.584376,1.415147,1.669476,3.72342,3.78135,3.029048
"AAR2",47.41088,24.96411,19.1402,15.39247,11.593021,10.23414
"AARD",83.5997,43.9278,58.7844,17.0014,16.7379,17.3097
"AARS",23.2666,37.4467,47.8001,36.1432,39.1498,50.2868
"AARS2",1.94394,5.55184,6.3616,6.39363,8.731,9.05582
"AARSD1",243.68,243.089,288.446,219.673,287.453,275.702
"AASDH",7.144515,4.35397700091437,6.50751,25.5569421,10.607445,14.438909
"AASDHPPT",30.0762,19.044,23.1078,95.483,46.3715,38.2478
"AASS",0.899408,2.30844,3.1534,5.76547,6.78344,7.59855
"AATBC",0.854862,0.408736,0.166111,4.75496,1.96715,1.0543
"AATF",52.8563,114.106,100.501,29.8161,69.9526,71.2802
"AATK",0.24049,0.402538,0.481475,0.278649,0.162434,0.680971
"ABALON",9.65619,12.004,7.98075,6.02972,5.81601,5.37868
"ABAT",2.017413,2.618516,2.203341,6.206162,4.01628,3.147044
"ABCA1",1.07191,2.76662,4.80503,1.83665,2.21013,3.55966
"ABCA10",2.92646,7.77147,13.7918,4.7634,5.30837,5.13791
"ABCA11P",3.42436,4.58966,5.76433,3.25575,6.98342,4.20051
"ABCA12",1.01648,1.341405,2.96978,6.67163,1.927111,3.811424
"ABCA13",0.659015,0.736497,1.21305,3.9706,1.94538,2.67698
"ABCA17P",9.69134,18.2686,20.0964,9.88197,21.3514,17.635
"ABCA2",3.9992221803,1.98935,1.830004,5.08941,2.7506848,2.415319
"ABCA3",3.6741,5.80282,9.61606,9.51494,9.93495,16.5707
"ABCA4",0.773865,0.361848,0.683113,3.00342,1.32832,1.14142
"ABCA5",28.55081,39.50074,48.33119,14.87121,24.49606,24.00264
"ABCA6",1.16314,5.90429,4.43727,4.70289,5.0968,3.40144
"ABCA7",0.327451,0.428317,1.04725,1.54162,0.997201,1.22852
"ABCA8",0.297972,4.026878581,4.783693,2.627993,7.154600293487,3.932046
"ABCA9",1.49261,6.77038,6.83754,4.11894,6.86957,5.3714
"ABCA9-AS1",0,0.536699,0,0.222491,0,0.915679
"ABCB1",2.05376,1.860616,2.9996,4.9081842,4.68242,5.6006576
"ABCB10",1.39871,1.82198,3.49784,2.15874,2.34156,6.3694
"ABCB11",5.03486,4.96028,10.2819,28.2677,22.3675,19.2163
"ABCB4",0.334588,1.76560417,1.772829,1.236312,2.390707,1.7843
"ABCB5",1.0148134,2.120128,2.97707,3.975369,4.292748,3.70557
"ABCB6",54.40277,100.53096,63.2154,52.34511,59.92097,41.12025
"ABCB7",1.578325,3.714162,4.23941954,4.7638800573703,3.333629,5.817311
"ABCB8",3.802,6.629499,5.0631281,4.172173,4.847543,5.5905
"ABCB9",48.557282,26.1495,19.44906,31.125556458518,14.06841,11.82515
"ABCC1",30.6087,18.8266,28.9089,25.8108,11.9445,20.6341
"ABCC10",1.539442,1.248289,1.36219,3.300347,2.061552,2.58618
"ABCC11",18.72933,17.0763,18.2266,14.99938,10.2296,8.01667
"ABCC12",26.3483,23.9614,18.3227,9.1373,8.76047,8.11722
"ABCC13",0.0178312,0.615648,0.126579,0.107612,0.211615,0.623072
"ABCC2",3.02253,1.38928,1.06519,4.64768,2.96799,1.97759
"ABCC3",0.123128,0.569503,0.659262,1.74005,0.436628,0.73418
"ABCC4",4.24992,6.511322,6.51332000027973,5.402029807,6.62674,13.9350800013963
"ABCC5",1.988065,3.415108,5.86296,6.98587,5.38243,7.75515
"ABCC5-AS1",0,0,0,0,0,0
"ABCC6",0.206987,0.483862475,0.409555,1.499384,1.066026277,0.881011068
"ABCC6P1",0,0.27874,0.339507,0,0,0.242095
"ABCC6P2",0,0,0,0.143757,0,0.643532
"ABCC8",0.169354700626757,0.05444599170819,0,0.47803800412866,0.033644570793962,0.057811120600123
"ABCC9",5.72796,11.8295614,10.608142,13.2723,10.4308122,11.260075
"ABCD1",0.189569,3.20363,1.5105,1.2493,2.10506,3.57702
"ABCD2",0.137265,0.516937,0.258751,0.751975,0.803437,0.796491
"ABCD3",6.999176,21.98862,33.22758,9.94292,26.31442,33.74409
"ABCD4",7.4057952352107,7.85705551060805,8.277872,7.69274617049898,6.0393054400416,7.57302875369933
"ABCE1",30.84235,30.77671,31.8275000202507,56.59079,39.26896,40.21816
"ABCF1",83.8102,97.38726,100.00875,51.6186,49.7358,48.96869
"ABCF2",61.1096,89.0532,71.4325,58.1257,64.9941,49.6872
"ABCF3",24.925523,24.746012,25.16558,22.947522,18.487154,21.76634
"ABCG1",1.2886900775848,2.257963,3.2722,5.45809,4.150099,4.0121920148056
"ABCG2",0.9811641,2.104313,4.029034,1.59390401,3.031342,4.708854
"ABCG4",12.47773,7.232533,3.80615,3.684892,3.429756,1.879465
"ABCG5",0.147241,0.367947,1.11603,0.316301,0.124518,0.588097
"ABCG8",0.0948837,0,0,0.03259957,0.0641978,0
"ABHD1",182.388,59.2595,49.1694,218.362,92.9819,59.9697
"ABHD10",15.38614,13.899165,18.1476,14.98535,15.368655,19.622994
"ABHD11",3.315438,10.338864,4.1324,1.5301738612,5.63425,5.86961
"ABHD11-AS1",0.153336,1.35062,0,0.241585,1.86914,2.50293
"ABHD12",5.795369,15.98038,8.89387,14.0441,23.6531,14.29214
"ABHD12B",1.67656,7.974266,8.11952,4.38084,11.9073,11.3724
"ABHD13",9.36802,4.92291,5.99637,18.5265,6.55425,7.19619
"ABHD14A",2.21628,1.63245,2.39334,2.80984,2.65634,2.49728
"ABHD14A-ACY1",0.885083,0,0,0.449307,0,0
"ABHD14B",0.283615,0.60794992,0.3421926,2.22591,0.567694,0.787161
"ABHD15",0.521349,1.79878,1.25416,0.612293,1.03773,2.10371
"ABHD16A",115.61303,88.67586,69.31392343,63.68022,62.167238692,54.729767
"ABHD16B",4.26865,7.78675,10.3469,16.2637,41.0135,30.5729
"ABHD17A",14.1505,23.2086,14.94632,13.420961,16.5202,19.137379
"ABHD17B",30.47173,25.79077,29.06431,36.4904,28.62125,24.38556
"ABHD17C",1.16617,0.901888,0.243414,1.49968,0.255835,0.690337
"ABHD18",1.98466,3.639111,4.45735,1.8354727,3.419587,3.719043
"ABHD2",74.1601,44.64026,35.8112,70.097,40.35469,34.3453
"ABHD3",13.848136,5.437376,5.23648,5.21001,3.784959,2.717953
"ABHD4",0.606638,3.416,1.48205,2.74179,1.47115,1.46882
"ABHD5",32.07903,23.78818,21.67535,24.40208,19.73869,20.05815
"ABHD6",0.587267,0.96278,1.23552,1.385175,1.324746,1.55411
"ABHD8",56.2292,42.4927,15.7758,51.1576,40.83,20.7647
"ABI1",3.472857684,8.975856,6.379551,7.321188795,6.925029,9.944841
"ABI2",24.389731,25.401894,24.50418,28.449243,25.4121,18.3003689651
"ABI3",0.22155031301,0.31261371169,1.6633940632,1.18943,0.660731,1.09894
"ABI3BP",1.90090100319726,1.5416169,2.110256,7.814696,4.112428,3.56810900067972
"ABL1",6.596673,5.162706,6.62037,9.257322,5.59737,6.14702
"ABL2",7.199605,5.41916263489489,8.288049,13.0301445,7.186260595,8.5075482
"ABLIM1",8.97071936112582,7.53319362818731,8.85827800763055,56.3690487737704,33.710624496,30.9001134019626
"ABLIM2",0.3594652,0.75878338187,0.191476,1.238666,1.235846,1.062119
"ABLIM3",0.8549060735069,1.057539,0.4933271953683,1.5917503,0.6335766,1.3460795964
"ABO",0.167746,1.15347,0.0942249,0.48483,0.398334,0.878829
"ABR",5.68215360203832,4.436533,6.989129,16.3990675,7.533322,10.06045
"ABRA",4.90587,3.41709,7.95858,18.9352,15.0997,13.0883
"ABRACL",1.18619,3.62976,4.27479,3.1258,2.74396,3.983
"ABRAXAS1",27.2645,44.62552,46.28402,42.681,53.3467,51.95391
"ABRAXAS2",3.38607,6.64446,10.0035,11.4933,10.4585,11.708
"ABT1",11.4786,6.72668,5.53786,15.6606,8.60563,9.9165
"ABTB1",0.471285,0.484085,0.0751286,2.53157,0.26609,0.659947
"ABTB2",0.82979,0.947101,1.34244,2.28161,1.24931,1.6535
"ACAA1",8.358197,10.63975,6.85408,5.764186,5.92777,3.015454
"ACAA2",17.3697,23.7648,36.3922,60.4902,48.4507,45.3277
"ACACA",7.4695700227537,10.09388,12.542756,32.6294910004567,25.535651,27.6450362
"ACACB",5.37883,3.8317,4.23674,23.8619,14.1359,13.744
"ACAD10",9.886194,8.19575,8.46708,22.99849,12.797757,11.50421
"ACAD11",18.9112,11.8337,9.15447,21.3455,16.1965,10.012557
"ACAD8",5.98419,5.78946,4.45959,6.44014,4.92734,6.86963
"ACAD9",38.37247,48.14239,47.78724,27.37922,36.54166,25.09609
"ACADL",3.81232,0.70357,1.95384,18.5776,4.24275,5.00535
"ACADM",68.9236000006367,29.63484,42.72423,60.435994,31.170825,40.904773
"ACADS",39.6744,42.0226,19.8424,16.029833,17.2637,16.792459
"ACADSB",7.4926,19.8373,24.11036,7.94658,17.3988,17.88049
"ACADVL",69.954621,65.29885,59.6194,96.22835,81.81778,63.81535
"ACAN",0.526557,1.031071,1.271854,1.988949,1.926003,3.16809
"ACAP1",0.910345,1.35963,3.13644,4.27066,4.62072,5.05491
"ACAP2",18.8271,27.8919,29.6441,16.7302,26.0366,22.7699
"ACAP3",0.909585,1.65557,1.41484,2.13751,2.51699,3.19523
"ACAT1",321.493,205.47,204.255,219.355,184.231,124.416
"ACAT2",19.1227,10.128801,21.94889,87.987125,39.86837,33.6723
"ACBD3",12.4442,33.4734,39.4491,25.8747,48.2756,43.4263
"ACBD3-AS1",0.170835,1.79735,0,0.402854,2.10125,3.58839
"ACBD4",0.845679,1.5376893,1.583863,1.463971,1.854944,1.5628164
"ACBD5",37.601721379,54.5172126041,53.0490634623155,25.323229247,40.2766912214,29.4734592250277
"ACBD6",249.864,157.398,150.34,138.037,124.245,103.705
"ACBD7",7.78111,18.9427,18.3301,6.37844,12.4054,12.5116
"ACBD7-DCLRE1CP1",5.63,4.84828,17.1978,11.1382,8.82901,7.67434
"ACCS",0.377759,0.59983,1.815221,2.600862,1.407918,1.993924
"ACCSL",0.630408,0.4154,0.443233,2.12658,1.84523,2.45879
"ACD",7.95616,12.192401,9.61943,19.433,21.9625,10.8777
"ACE",62.80673,20.497912,33.19073,305.57756,122.22425,117.81235
"ACE2",0.779751,10.3447,10.208,1.24635,3.88149,3.16929
"ACER1",1.08054,0.370538,0,1.16623,0.437846,0
"ACER2",9.01256,8.11142,9.17945,5.09491,6.47229,4.61046
"ACER3",16.740503,6.54235,10.66318,19.3637,7.593785,9.67394
"ACHE",0.207736,0.5993332,0.25579,0.666914,1.19074,1.701048
"ACIN1",60.88217,104.79981,92.9103,67.40443,111.09607,86.657085
"ACKR1",5.96706,0.569773,0.434474,8.90546,1.22005,1.0919482
"ACKR2",0.787096,3.47561,4.48099,1.19934,3.13975,2.17857
"ACKR3",15.2648,14.4026,11.5554,5.03104,7.71694,4.55876
"ACKR4",0.523071,1.54534,0.307053,0.971482,0.922145,1.6151
"ACLY",34.5237,42.10797,33.8015,48.45555,37.37544,36.628478
"ACMSD",1.05001,5.108109,8.1483,0.332325,2.3061,0.767942
"ACO1",4.11756,4.726906,4.01411,10.1891,6.39047,7.69325
