"id","UniqueID","Gene.Name","Protein.ID","GeneType"
1,"A1BG","A1BG","","protein_coding"
2,"A1BG-AS1","A1BG-AS1","","protein_coding"
3,"A1CF","A1CF","","protein_coding"
4,"A2M","A2M","","protein_coding"
5,"A2M-AS1","A2M-AS1","","protein_coding"
6,"A2ML1","A2ML1","","protein_coding"
7,"A2MP1","A2MP1","","protein_coding"
8,"A3GALT2","A3GALT2","","protein_coding"
9,"A4GALT","A4GALT","","protein_coding"
10,"A4GNT","A4GNT","","protein_coding"
11,"AA06","AA06","","protein_coding"
12,"AAAS","AAAS","","protein_coding"
13,"AACS","AACS","","protein_coding"
14,"AACSP1","AACSP1","","protein_coding"
15,"AADAC","AADAC","","protein_coding"
16,"AADACL2","AADACL2","","protein_coding"
17,"AADACL2-AS1","AADACL2-AS1","","protein_coding"
18,"AADACL3","AADACL3","","protein_coding"
19,"AADACL4","AADACL4","","protein_coding"
20,"AADACP1","AADACP1","","protein_coding"
21,"AADAT","AADAT","","protein_coding"
22,"AAED1","AAED1","","protein_coding"
23,"AAGAB","AAGAB","","protein_coding"
24,"AAK1","AAK1","","protein_coding"
25,"AAMDC","AAMDC","","protein_coding"
26,"AAMP","AAMP","","protein_coding"
27,"AANAT","AANAT","","protein_coding"
28,"AAR2","AAR2","","protein_coding"
29,"AARD","AARD","","protein_coding"
30,"AARS","AARS","","protein_coding"
31,"AARS2","AARS2","","protein_coding"
32,"AARSD1","AARSD1","","protein_coding"
33,"AASDH","AASDH","","protein_coding"
34,"AASDHPPT","AASDHPPT","","protein_coding"
35,"AASS","AASS","","protein_coding"
36,"AATBC","AATBC","","protein_coding"
37,"AATF","AATF","","protein_coding"
38,"AATK","AATK","","protein_coding"
39,"ABALON","ABALON","","protein_coding"
40,"ABAT","ABAT","","protein_coding"
41,"ABCA1","ABCA1","","protein_coding"
42,"ABCA10","ABCA10","","protein_coding"
43,"ABCA11P","ABCA11P","","protein_coding"
44,"ABCA12","ABCA12","","protein_coding"
45,"ABCA13","ABCA13","","protein_coding"
46,"ABCA17P","ABCA17P","","protein_coding"
47,"ABCA2","ABCA2","","protein_coding"
48,"ABCA3","ABCA3","","protein_coding"
49,"ABCA4","ABCA4","","protein_coding"
50,"ABCA5","ABCA5","","protein_coding"
51,"ABCA6","ABCA6","","protein_coding"
52,"ABCA7","ABCA7","","protein_coding"
53,"ABCA8","ABCA8","","protein_coding"
54,"ABCA9","ABCA9","","protein_coding"
55,"ABCA9-AS1","ABCA9-AS1","","protein_coding"
56,"ABCB1","ABCB1","","protein_coding"
57,"ABCB10","ABCB10","","protein_coding"
58,"ABCB11","ABCB11","","protein_coding"
59,"ABCB4","ABCB4","","protein_coding"
60,"ABCB5","ABCB5","","protein_coding"
61,"ABCB6","ABCB6","","protein_coding"
62,"ABCB7","ABCB7","","protein_coding"
63,"ABCB8","ABCB8","","protein_coding"
64,"ABCB9","ABCB9","","protein_coding"
65,"ABCC1","ABCC1","","protein_coding"
66,"ABCC10","ABCC10","","protein_coding"
67,"ABCC11","ABCC11","","protein_coding"
68,"ABCC12","ABCC12","","protein_coding"
69,"ABCC13","ABCC13","","protein_coding"
70,"ABCC2","ABCC2","","protein_coding"
71,"ABCC3","ABCC3","","protein_coding"
72,"ABCC4","ABCC4","","protein_coding"
73,"ABCC5","ABCC5","","protein_coding"
74,"ABCC5-AS1","ABCC5-AS1","","protein_coding"
75,"ABCC6","ABCC6","","protein_coding"
76,"ABCC6P1","ABCC6P1","","protein_coding"
77,"ABCC6P2","ABCC6P2","","protein_coding"
78,"ABCC8","ABCC8","","protein_coding"
79,"ABCC9","ABCC9","","protein_coding"
80,"ABCD1","ABCD1","","protein_coding"
81,"ABCD2","ABCD2","","protein_coding"
82,"ABCD3","ABCD3","","protein_coding"
83,"ABCD4","ABCD4","","protein_coding"
84,"ABCE1","ABCE1","","protein_coding"
85,"ABCF1","ABCF1","","protein_coding"
86,"ABCF2","ABCF2","","protein_coding"
87,"ABCF3","ABCF3","","protein_coding"
88,"ABCG1","ABCG1","","protein_coding"
89,"ABCG2","ABCG2","","protein_coding"
90,"ABCG4","ABCG4","","protein_coding"
91,"ABCG5","ABCG5","","protein_coding"
92,"ABCG8","ABCG8","","protein_coding"
93,"ABHD1","ABHD1","","protein_coding"
94,"ABHD10","ABHD10","","protein_coding"
95,"ABHD11","ABHD11","","protein_coding"
96,"ABHD11-AS1","ABHD11-AS1","","protein_coding"
97,"ABHD12","ABHD12","","protein_coding"
98,"ABHD12B","ABHD12B","","protein_coding"
99,"ABHD13","ABHD13","","protein_coding"
