"","PS.rep1","PS.rep2","PS.rep3","RS.rep1","RS.rep2","RS.rep3"
"A1BG",0.271859495119973,0.568502059723582,0.459220707437071,0.265457300077602,0.890290254419327,1.02440479143643
"A1BG-AS1",0.0692033574351779,1.28654999944883,1.48532892668509,0.433562007336605,1.15765171355226,0.952575113689414
"A1CF",0.17639576602859,1.12015987642394,0.902332189682457,0.112681268096979,0.847420083461412,0.923732607429305
"A2M",4.34945714173,4.33902368979788,4.29937069025666,5.4964741738552,4.95876520368672,5.53647140764976
"A2M-AS1",0.357670230391762,0.921091992906645,0.220435212051315,0.724518529990539,0.874646689631757,0.562731361545643
"A2ML1",0.774711589524987,0.971635147808778,1.49891307852147,1.75085086338926,2.13654939015579,1.03898885134235
"A2MP1",0.242818322451285,0.220660560408968,0,0.345216949975005,0.766523926240453,0.263504407401019
"A3GALT2",0.782203889019799,1.37465558864434,1.11054365248794,0.761506554744974,1.82618846771693,2.02523437274888
"A4GALT",2.19116852327135,3.94850574459837,4.45213165261957,2.99567807124685,3.83577788443722,3.87308477825788
"A4GNT",0.161078901713595,0.214742793177254,0,0,0.0704598121272948,0.330810777882286
"AA06",2.3955372200631,0.445351681010553,1.9288175128567,3.91712618867569,3.20442872610265,2.89204706973351
"AAAS",4.77940156615248,5.03636705825296,5.0936362300115,4.37144734564191,4.51525829027167,4.77170082962936
"AACS",5.8500195190843,6.02358005523177,5.62682283086894,6.10083429590348,6.01283010477089,5.495596037884
"AACSP1",2.34987010421363,3.31351143417432,3.41946338400302,1.47401699728151,2.8799586077938,3.27080997891037
"AADAC",0,1.75838420118173,1.70733041595122,0.505836065635909,0.587334264325522,0.193720026188474
"AADACL2",0.320511249933901,2.00748975247254,2.06773163555789,0.164366664420162,1.14146548990236,1.02478773439557
"AADACL2-AS1",6.34342203597204,5.60552692805679,5.58664466386438,5.8539532436907,5.27141073509758,4.77447608907561
"AADACL3",0.375349768600641,0.616332287271227,1.02861158377987,1.48253338502827,1.84707328613871,1.56077852946532
"AADACL4",1.2300677159274,0.314428550977711,0.69080772133261,0.848605915901509,0.484884684181639,0.425183200442164
"AADACP1",0.276366832133245,1.09988091725152,0.960911991337498,2.23589858026229,1.55437273819197,2.11180588509035
"AADAT",1.78389662496884,1.42460342428273,2.06374003562046,2.59750042500594,2.41755010781227,2.50848544643841
"AAED1",3.53222967177187,3.64981087065492,3.15376967351365,3.92617974416622,3.5337128425456,3.85258818353126
"AAGAB",5.84165793511336,5.29072997099934,5.36747241421115,5.69836490767415,5.07639319960641,5.11177375860647
"AAK1",1.71398168645049,2.25229454120184,1.82107341135513,2.56300921510756,2.07456708868051,2.21878426701821
"AAMDC",3.50578932791007,4.713733696087,4.97804091614394,4.82210195455739,5.70718627443474,5.79257740381758
"AAMP",6.33086759265958,6.18183345566148,6.01152963050804,4.71999164909154,5.05718207060995,5.1273790524806
"AANAT",1.36981598252131,1.27211100260837,1.41655657846988,2.23983182364792,2.25741801639104,2.01043899311358
"AAR2",5.59725941424822,4.69844686833569,4.33200610482469,4.03496134946315,3.6545525144733,3.48981778191307
"AARD",6.40258064228366,5.48953651337461,5.90169717498433,4.17003720669312,4.14876331315541,4.19453624800743
"AARS",4.60090008113682,5.26478786738005,5.60881219901479,5.21502620809438,5.32732089608632,5.68051565317563
"AARS2",1.55774826834311,2.71190012590062,2.8800193615538,2.88628284843166,3.28258807025917,3.32995882563038
"AARSD1",7.93475237096303,7.93126347054299,8.17715040915016,7.78576631214712,8.17219245772428,8.11218926154931
"AASDH",3.02582878985847,2.42061094160513,2.90833449145286,4.73101713196589,3.53697853983112,3.94849890216295
"AASDHPPT",4.95773819656329,4.32509853776749,4.59142809614274,6.59220286134835,5.56594744990355,5.29453988218986
"AASS",0.925549835110003,1.72615111588918,2.05429281956604,2.75819016230468,2.96040791537522,3.1040933942122
"AATBC",0.891311855675413,0.494401272984233,0.221705122610123,2.52480590090274,1.56907786203424,1.03864688122188
"AATF",5.75104321304834,6.84681922693415,6.6653501308594,4.94561238481656,6.14878364652173,6.17552859304628
"AATK",0.310910105235536,0.488039859368025,0.567034280919283,0.354620286536505,0.217148806047972,0.749294835509786
