Geneid	Length	genome_mapping/High_6555c3.rep5.RNAseq.mm10.sorted.bam
Zfp85	2286	241
Scap	4288	6833
Zfp458	5455	173
Fbxo41	6678	0
Taf9b	2665	434
BC051142	1969	2
Ccdc148	4004	92
A2ml1	4698	414
Zfp941	3909	40
BC031181	1209	3665
Baz2b	7980	3355
Tmem204	1779	624
Primpol	3835	603
BC048507	598	0
Zfp456	4079	109
Zfp738	4504	473
Dis3l	3970	1761
Thnsl1	4043	918
Itga8	5845	83
Pramel4	2409	0
Tbx10	1778	1
Slc35d2	2276	1314
Adamts13	5026	117
Denn2b	4526	1812
Vkorc1l1	4919	3662
Cstdc6	387	2
Hexdc	2379	1091
Spag6	1651	50
Plekha8	6988	1106
Defb29	405	0
Trpv1	3587	20
Cyp2c23	2197	945
Zscan22	3507	400
AF067063	886	0
Ssxb2	929	0
Tas2r138	996	0
Tas2r143	882	0
Tas2r144	960	0
Ttyh1	3057	82
Atp8b1	6440	2595
Mfsd4b5	5981	14
Oxgr1	3732	0
Tpm4	2099	43251
Lca5l	3170	64
Wdr83os	699	2547
Tnip3	3769	329
Gja6	2017	8
Usp17ld	1638	0
Chpf	3235	3874
Dab2ip	7509	8080
Prss48	1187	7
Sohlh1	1287	4
Nsd3	13244	7986
Zfp950	10561	1589
Itprip	3986	2415
Zfp239	3282	381
Prrxl1	3924	0
Atp11c	6169	3059
Spink7	319	0
Ephx4	1548	133
Olfr576	939	0
Zfp36l2	3533	31135
Olfr279	933	0
Olfr221	936	0
Olfr218	942	0
Olfr1206	924	0
Mpzl1	2361	3695
2510009E07Rik	5164	1161
Rtel1	4559	2801
Hecw2	11334	591
Nckap5l	4854	551
Tmem151a	3962	2793
H2-K1	1660	19525
Eea1	7836	8313
Megf10	7514	348
Limch1	6667	1874
Utp14b	3981	509
Ccdc9b	4716	5532
Pi4ka	6663	6342
Kdm2a	7265	9641
Nat8l	6529	92
Nol4l	6523	4418
Gp1bb	2085	48
2610507B11Rik	7443	26390
Panx2	3412	20
