Geneid	Length	genome_mapping/High_6556c4.rep7.RNAseq.mm10.sorted.bam
Zfp85	2286	64
Scap	4288	4321
Zfp458	5455	49
Fbxo41	6678	3
Taf9b	2665	162
BC051142	1969	6
Ccdc148	4004	18
A2ml1	4698	187
Zfp941	3909	26
BC031181	1209	1898
Baz2b	7980	1762
Tmem204	1779	401
Primpol	3835	437
BC048507	598	0
Zfp456	4079	40
Zfp738	4504	285
Dis3l	3970	975
Thnsl1	4043	427
Itga8	5845	58
Pramel4	2409	0
Tbx10	1778	5
Slc35d2	2276	758
Adamts13	5026	49
Denn2b	4526	1272
Vkorc1l1	4919	1957
Cstdc6	387	0
Hexdc	2379	684
Spag6	1651	22
Plekha8	6988	665
Defb29	405	0
Trpv1	3587	0
Cyp2c23	2197	596
Zscan22	3507	247
AF067063	886	0
Ssxb2	929	0
Tas2r138	996	0
Tas2r143	882	4
Tas2r144	960	0
Ttyh1	3057	35
Atp8b1	6440	1442
Mfsd4b5	5981	7
Oxgr1	3732	0
Tpm4	2099	24425
Lca5l	3170	22
Wdr83os	699	1604
Tnip3	3769	199
Gja6	2017	10
Usp17ld	1638	0
Chpf	3235	2500
Dab2ip	7509	4943
Prss48	1187	3
Sohlh1	1287	0
Nsd3	13244	4346
Zfp950	10561	708
Itprip	3986	1572
Zfp239	3282	372
Prrxl1	3924	2
Atp11c	6169	1504
Spink7	319	0
Ephx4	1548	77
Olfr576	939	0
Zfp36l2	3533	17472
Olfr279	933	0
Olfr221	936	0
Olfr218	942	0
Olfr1206	924	0
Mpzl1	2361	2120
2510009E07Rik	5164	608
Rtel1	4559	1770
Hecw2	11334	327
Nckap5l	4854	443
Tmem151a	3962	1586
H2-K1	1660	12627
Eea1	7836	4361
Megf10	7514	218
Limch1	6667	1159
Utp14b	3981	254
Ccdc9b	4716	3410
Pi4ka	6663	3710
Kdm2a	7265	5522
Nat8l	6529	50
Nol4l	6523	2733
Gp1bb	2085	40
2610507B11Rik	7443	15863
Panx2	3412	14
Zfp948	2843	683
Lmna	3362	29134
Hspa2	2681	528
Tdrd1	5443	0
Rpl17	775	25022
Tmem158	1733	352
Adgrg6	6505	1782
Tro	7245	84
Smg6	5817	2330
Ccin	2030	1
Defb22	625	0
Pram1	2313	168
Fbxl12	2699	453
Nlrp14	3282	0
AI413582	637	789
Bfsp2	1606	0
Atg9b	3902	4210
Sirpb1a	1232	91
Higd1c	506	0
Penk	1593	574
Nup85	2159	2056
Igfl3	575	0
Try5	801	14
Zfp457	2116	4
Krt77	2931	0
Krt87	1826	152
Gm5414	1723	0
Pcdhac1	5296	0
Pcdhac2	5719	14
Ghrhr	1598	4
Osbpl8	7152	1736
Ralgapa1	9773	1733
Erbb2	4998	3206
Kcnq2	8485	8
Masp2	3217	751
Tardbp	7454	6350
Cltc	6539	14726
Ankib1	6781	2561
Ttc41	5031	90
Adamts7	5472	1168
Arhgef11	6831	2893
Mars1	2963	3266
Slc5a12	5191	0
Zc4h2	2256	176
Atg9a	4107	2924
Usp7	5427	6524
Ddx11	4240	638
Brsk1	3184	68
Rtn3	5038	9234
Cyp4x1	3985	0
Pid1	2667	1248
Tmem259	2225	6175
Rab3ip	2863	1588
Ces5a	2188	0
Sval3	550	0
Kdm2b	5450	917
Rab11fip5	6124	5766
Dnmt3b	4327	181
Senp7	8000	647
Ppp3r2	2985	0
Fam170a	1402	0
Crtc1	5674	1127
Zfp386	4678	949
Zfp619	5964	105
Ckap2	2601	929
Cyp2j11	1934	0
Nlrp1a	4806	40
Usp22	4442	7367
Git1	3774	5002
Nlrp4g	2574	0
Fbll1	1505	2
Slc13a5	3485	83
Zfp366	2758	32
A4galt	2130	235
Rtp1	3120	0
Psg22	1880	8
AU018091	3448	6
Rragb	2281	1
9930012K11Rik	1986	338
Scarf1	2884	351
Gm5142	626	0
Clec4b2	1044	0
Gnptab	5342	2878
Sgpp2	3998	742
AA467197	640	301
Maml3	6512	1149
Celsr2	10628	446
Frg2f1	1902	78
Fam222a	2693	40
Tmem178b	12018	14
Slc28a1	2846	4
Whamm	3069	1112
Rexo5	2663	130
Zfp560	4732	348
Gm5617	633	234
BC048562	687	0
Rhox8	1202	0
Nlrp4e	3382	2
Amigo1	5586	434
Cntnap2	7139	0
Gprasp1	5959	748
Tpgs2	6805	392
2610008E11Rik	4229	373
Nuak1	5634	723
Asap2	5679	3839
Actr3b	2114	127
Scube3	7107	45
Cxxc4	5618	41
Pik3r6	3513	186
Wapl	6351	3674
Cys1	1838	500
Tacc2	9622	5199
Pigu	1621	1277
Gpr158	7141	2
Pla2g4c	3485	34
Znhit3	1096	298
Olfr1197	945	0
Olfr1200	1011	0
Olfr1024	984	0
Dbx1	2077	0
Hps5	4807	1227
Ypel2	4902	645
Ypel4	752	45
Sp9	2813	0
Zfp960	2680	64
Spin2c	1306	22
Pramel26	1909	0
Ado	4445	1500
Ppp1r26	5805	64
Jaml	2458	501
Stmnd1	1363	0
Mreg	3530	227
Ajm1	4684	12
Zfp663	3458	0
Zcwpw1	2456	99
Iqsec2	6200	637
Barhl2	2314	2
Olfr132	942	0
Olfr111	1041	2
Olfr467	921	0
Txlna	4948	2906
Smg7	6181	2657
Arhgap30	4487	909
Eif2a	2299	2524
Syne2	21718	7313
Lmtk3	5102	102
Olfr231	924	0
Olfr194	921	0
Rsrc2	2556	2585
Olfr1281	918	0
Olfr366	930	0
Olfr707	924	0
Aebp2	8157	3717
Itgb4	6169	9796
Phactr1	5973	50
Parl	1322	2176
Patj	8828	2366
Zfp69	2364	163
Mcoln2	2666	113
Aga	1290	832
Gm609	2122	11
Ifit3b	2013	52
Rpl34	689	121
Clec4a4	1092	8
Mtus1	7412	3189
Zmiz2	4053	4115
Erbin	6664	7690
Zbtb9	2784	502
Epb41l1	9051	1906
Pramel25	1838	0
Phactr3	5700	0
Adam22	9451	257
Tdpoz2	1145	0
Clec3a	2930	0
Taar2	1020	0
Dusp13	2597	46
Zdhhc23	5864	152
Gsdma3	2200	0
Pabpn1l	1144	0
Spag8	1667	2
Rffl	4242	966
Noto	1602	0
Slc7a6os	1533	1611
Zfp251	3504	245
Pnmal1	4090	0
Slc25a42	3172	512
D8Ertd738e	661	3388
Trpv5	2600	0
Maneal	2727	6
Zfp58	2359	147
Gucy2f	9998	0
Tceanc	4047	348
Armcx6	2034	26
Pramel20	2103	0
Fndc3c1	4812	4
Trp53rka	1868	608
Defa39	500	0
Best3	2719	14
Gm11541	1681	0
Akirin2	1719	1528
Rtn1	3917	68
Rtp2	2428	0
Daam2	6045	218
Asap3	5618	455
Plekhn1	2210	952
Bnip2	6138	4144
Aox2	4776	5
Cdh12	5639	0
Nol10	2986	889
Scaf1	4177	4216
Ccdc177	4399	0
Cdsn	2757	197
Thoc6	1539	870
Teddm1b	2527	1
Zfp975	3145	101
Fbxw20	1511	0
Taar3	1032	0
P2ry14	2571	216
Wdr34	1800	897
Taar4	1044	0
Zfp760	4209	366
Bbs12	2434	532
Zc3h14	4184	3831
Adora1	5819	560
Mxi1	3813	2886
1700001J03Rik	778	0
Pde2a	4987	1356
Zfp658	3381	140
Zfyve26	9368	2571
Il4ra	5219	7889
Dab2	4628	3100
Bud31	974	1252
Calm5	549	0
Kbtbd8	4732	66
Whrn	4406	226
Tmem232	2756	6
Adam6b	2271	0
Naaladl1	2689	36
Adam26b	2405	0
Adam20	2589	0
Zfp36l3	2613	0
Mup21	755	0
Unc13d	3967	2011
Taar5	1014	0
