Geneid	Length	genome_mapping/Low.6694c2.rep3.RNAseq.mm10.sorted.bam
Zfp85	2286	207
Scap	4288	8397
Zfp458	5455	108
Fbxo41	6678	18
Taf9b	2665	300
BC051142	1969	6
Ccdc148	4004	96
A2ml1	4698	117
Zfp941	3909	30
BC031181	1209	7798
Baz2b	7980	5126
Tmem204	1779	220
Primpol	3835	1387
BC048507	598	2
Zfp456	4079	151
Zfp738	4504	516
Dis3l	3970	2440
Thnsl1	4043	1395
Itga8	5845	30
Pramel4	2409	0
Tbx10	1778	3
Slc35d2	2276	1243
Adamts13	5026	21
Denn2b	4526	1716
Vkorc1l1	4919	6040
Cstdc6	387	2
Hexdc	2379	996
Spag6	1651	38
Plekha8	6988	2669
Defb29	405	0
Trpv1	3587	1
Cyp2c23	2197	294
Zscan22	3507	655
AF067063	886	0
Ssxb2	929	0
Tas2r138	996	0
Tas2r143	882	0
Tas2r144	960	0
Ttyh1	3057	101
Atp8b1	6440	979
Mfsd4b5	5981	8
Oxgr1	3732	0
Tpm4	2099	119282
Lca5l	3170	65
Wdr83os	699	4051
Tnip3	3769	496
Gja6	2017	27
Usp17ld	1638	0
Chpf	3235	8015
Dab2ip	7509	15049
Prss48	1187	24
Sohlh1	1287	2
Nsd3	13244	14766
Zfp950	10561	1159
Itprip	3986	7823
Zfp239	3282	3050
Prrxl1	3924	0
Atp11c	6169	2245
Spink7	319	0
Ephx4	1548	28
Olfr576	939	0
Zfp36l2	3533	79226
Olfr279	933	0
Olfr221	936	0
Olfr218	942	0
Olfr1206	924	0
Mpzl1	2361	9629
2510009E07Rik	5164	1910
Rtel1	4559	3944
Hecw2	11334	118
Nckap5l	4854	1964
Tmem151a	3962	2514
H2-K1	1660	16741
Eea1	7836	4095
Megf10	7514	3612
Limch1	6667	467
Utp14b	3981	748
Ccdc9b	4716	10008
Pi4ka	6663	8977
Kdm2a	7265	24341
Nat8l	6529	36
Nol4l	6523	9059
Gp1bb	2085	59
2610507B11Rik	7443	50679
Panx2	3412	6
Zfp948	2843	903
Lmna	3362	125366
Hspa2	2681	3806
Tdrd1	5443	4
Rpl17	775	94685
Tmem158	1733	6413
Adgrg6	6505	2662
Tro	7245	36
Smg6	5817	8137
Ccin	2030	2
Defb22	625	0
Pram1	2313	159
Fbxl12	2699	1949
Nlrp14	3282	0
AI413582	637	1561
Bfsp2	1606	0
Atg9b	3902	4661
Sirpb1a	1232	56
Higd1c	506	0
