"id","UniqueID","Gene.Name","Protein.ID","GeneType"
1,"RP23-271O17.1","RP23-271O17.1","","protein_coding"
2,"Gm26206","Gm26206","","protein_coding"
3,"Xkr4","Xkr4","","protein_coding"
4,"RP23-317L18.1","RP23-317L18.1","","protein_coding"
5,"RP23-317L18.4","RP23-317L18.4","","protein_coding"
6,"RP23-317L18.3","RP23-317L18.3","","protein_coding"
7,"RP23-115I1.6","RP23-115I1.6","","protein_coding"
8,"RP23-115I1.1","RP23-115I1.1","","protein_coding"
9,"RP23-115I1.5","RP23-115I1.5","","protein_coding"
10,"RP23-115I1.2","RP23-115I1.2","","protein_coding"
11,"RP23-115I1.3","RP23-115I1.3","","protein_coding"
12,"RP23-122M2.3","RP23-122M2.3","","protein_coding"
13,"RP23-122M2.2","RP23-122M2.2","","protein_coding"
14,"RP23-122M2.1","RP23-122M2.1","","protein_coding"
15,"Gm27396","Gm27396","","protein_coding"
16,"RP23-333I7.1","RP23-333I7.1","","protein_coding"
17,"Rp1","Rp1","","protein_coding"
18,"RP23-177A20.1","RP23-177A20.1","","protein_coding"
19,"RP23-391E12.2","RP23-391E12.2","","protein_coding"
20,"Sox17","Sox17","","protein_coding"
21,"RP23-285G23.2","RP23-285G23.2","","protein_coding"
22,"RP23-285G23.3","RP23-285G23.3","","protein_coding"
23,"Gm22307","Gm22307","","protein_coding"
24,"RP23-285G23.4","RP23-285G23.4","","protein_coding"
25,"RP23-37D15.1","RP23-37D15.1","","protein_coding"
26,"RP23-37D15.2","RP23-37D15.2","","protein_coding"
27,"RP23-34E15.1","RP23-34E15.1","","protein_coding"
28,"RP23-34E15.2","RP23-34E15.2","","protein_coding"
29,"Gm25493","Gm25493","","protein_coding"
30,"RP23-34E15.3","RP23-34E15.3","","protein_coding"
31,"RP23-34E15.4","RP23-34E15.4","","protein_coding"
32,"Mrpl15","Mrpl15","","protein_coding"
33,"RP23-34E15.5","RP23-34E15.5","","protein_coding"
34,"Lypla1","Lypla1","","protein_coding"
35,"RP24-426M1.3","RP24-426M1.3","","protein_coding"
36,"Tcea1","Tcea1","","protein_coding"
37,"RP24-426M1.2","RP24-426M1.2","","protein_coding"
38,"RP24-426M1.4","RP24-426M1.4","","protein_coding"
39,"Rgs20","Rgs20","","protein_coding"
40,"RP24-141F9.1","RP24-141F9.1","","protein_coding"
41,"RP24-141F9.2","RP24-141F9.2","","protein_coding"
42,"AC102242.1","AC102242.1","","protein_coding"
43,"RP24-363O2.1","RP24-363O2.1","","protein_coding"
44,"Atp6v1h","Atp6v1h","","protein_coding"
45,"RP23-267J18.11","RP23-267J18.11","","protein_coding"
46,"RP23-267J18.10","RP23-267J18.10","","protein_coding"
47,"RP23-335P21.1","RP23-335P21.1","","protein_coding"
48,"Oprk1","Oprk1","","protein_coding"
49,"RP23-238E7.2","RP23-238E7.2","","protein_coding"
50,"Gm22463","Gm22463","","protein_coding"
51,"RP23-354J2.1","RP23-354J2.1","","protein_coding"
52,"Npbwr1","Npbwr1","","protein_coding"
53,"RP23-74E8.1","RP23-74E8.1","","protein_coding"
54,"Rb1cc1","Rb1cc1","","protein_coding"
55,"AC139064.2","AC139064.2","","protein_coding"
56,"Fam150a","Fam150a","","protein_coding"
57,"RP23-76C20.3","RP23-76C20.3","","protein_coding"
58,"RP23-76C20.2","RP23-76C20.2","","protein_coding"
59,"RP23-76C20.4","RP23-76C20.4","","protein_coding"
60,"St18","St18","","protein_coding"
61,"RP23-299N6.3","RP23-299N6.3","","protein_coding"
62,"RP23-299N6.1","RP23-299N6.1","","protein_coding"
63,"RP23-5K7.4","RP23-5K7.4","","protein_coding"
64,"RP23-76C20.5","RP23-76C20.5","","protein_coding"
65,"RP23-5K7.3","RP23-5K7.3","","protein_coding"
66,"RP23-5K7.2","RP23-5K7.2","","protein_coding"
67,"RP23-5K7.1","RP23-5K7.1","","protein_coding"
68,"Pcmtd1","Pcmtd1","","protein_coding"
69,"RP24-149G24.1","RP24-149G24.1","","protein_coding"
70,"WI1-817D1.2","WI1-817D1.2","","protein_coding"
71,"RP23-278C19.3","RP23-278C19.3","","protein_coding"
72,"Nras-ps2","Nras-ps2","","protein_coding"
73,"Gm23274","Gm23274","","protein_coding"
74,"RP23-278C19.1","RP23-278C19.1","","protein_coding"
75,"RP24-263A16.1","RP24-263A16.1","","protein_coding"
76,"RP24-263A16.2","RP24-263A16.2","","protein_coding"
77,"RP24-181G14.2","RP24-181G14.2","","protein_coding"
78,"RP24-181G14.1","RP24-181G14.1","","protein_coding"
79,"RP23-404K2.2","RP23-404K2.2","","protein_coding"
80,"Rps2-ps2","Rps2-ps2","","protein_coding"
81,"RP23-408B17.1","RP23-408B17.1","","protein_coding"
82,"Sntg1","Sntg1","","protein_coding"
83,"RP23-241G23.1","RP23-241G23.1","","protein_coding"
84,"AC102786.2","AC102786.2","","protein_coding"
85,"RP23-311L17.1","RP23-311L17.1","","protein_coding"
86,"Gm23358","Gm23358","","protein_coding"
87,"RP24-442E5.1","RP24-442E5.1","","protein_coding"
88,"AC163389.1","AC163389.1","","protein_coding"
89,"RP23-397E23.1","RP23-397E23.1","","protein_coding"
90,"Gm24276","Gm24276","","protein_coding"
91,"AC118192.1","AC118192.1","","protein_coding"
92,"RP23-200C17.1","RP23-200C17.1","","protein_coding"
93,"AC122738.1","AC122738.1","","protein_coding"
94,"RP23-331M15.1","RP23-331M15.1","","protein_coding"
95,"RP23-331M15.2","RP23-331M15.2","","protein_coding"
96,"RP23-411P10.1","RP23-411P10.1","","protein_coding"
97,"RP23-411P10.5","RP23-411P10.5","","protein_coding"
98,"RP23-411P10.3","RP23-411P10.3","","protein_coding"
99,"RP23-411P10.2","RP23-411P10.2","","protein_coding"
100,"Gm24765","Gm24765","","protein_coding"
101,"RP24-361E12.1","RP24-361E12.1","","protein_coding"
102,"Rrs1","Rrs1","","protein_coding"
103,"Adhfe1","Adhfe1","","protein_coding"
104,"AC103620.4","AC103620.4","","protein_coding"
105,"AC103620.1","AC103620.1","","protein_coding"
106,"AC103620.3","AC103620.3","","protein_coding"
107,"RP24-219C22.3","RP24-219C22.3","","protein_coding"
108,"Mybl1","Mybl1","","protein_coding"
109,"Vcpip1","Vcpip1","","protein_coding"
110,"RP23-228O9.1","RP23-228O9.1","","protein_coding"
111,"Sgk3","Sgk3","","protein_coding"
112,"RP23-228O9.3","RP23-228O9.3","","protein_coding"
113,"Gm22607","Gm22607","","protein_coding"
114,"Mcmdc2","Mcmdc2","","protein_coding"
115,"Snhg6","Snhg6","","protein_coding"
116,"Snord87","Snord87","","protein_coding"
117,"Tcf24","Tcf24","","protein_coding"
118,"RP23-228G18.3","RP23-228G18.3","","protein_coding"
