Geneid	Length	genome_mapping/Low_6556c3.rep6.RNAseq.mm10.sorted.bam
Zfp85	2286	237
Scap	4288	5551
Zfp458	5455	156
Fbxo41	6678	7
Taf9b	2665	247
BC051142	1969	0
Ccdc148	4004	211
A2ml1	4698	0
Zfp941	3909	5
BC031181	1209	4521
Baz2b	7980	2974
Tmem204	1779	54
Primpol	3835	942
BC048507	598	0
Zfp456	4079	151
Zfp738	4504	901
Dis3l	3970	1355
Thnsl1	4043	758
Itga8	5845	6
Pramel4	2409	0
Tbx10	1778	4
Slc35d2	2276	883
Adamts13	5026	0
Denn2b	4526	666
Vkorc1l1	4919	2896
Cstdc6	387	0
Hexdc	2379	715
Spag6	1651	26
Plekha8	6988	949
Defb29	405	0
Trpv1	3587	0
Cyp2c23	2197	4
Zscan22	3507	312
AF067063	886	0
Ssxb2	929	0
Tas2r138	996	0
Tas2r143	882	3
Tas2r144	960	0
Ttyh1	3057	18
Atp8b1	6440	578
Mfsd4b5	5981	6
Oxgr1	3732	0
Tpm4	2099	48777
Lca5l	3170	69
Wdr83os	699	2657
Tnip3	3769	1537
Gja6	2017	7
Usp17ld	1638	0
Chpf	3235	4406
Dab2ip	7509	5958
Prss48	1187	28
Sohlh1	1287	0
Nsd3	13244	6986
Zfp950	10561	1583
Itprip	3986	2093
Zfp239	3282	2482
Prrxl1	3924	0
Atp11c	6169	2089
Spink7	319	0
Ephx4	1548	44
Olfr576	939	0
Zfp36l2	3533	33640
Olfr279	933	0
Olfr221	936	4
Olfr218	942	0
Olfr1206	924	0
Mpzl1	2361	3232
2510009E07Rik	5164	229
Rtel1	4559	2144
Hecw2	11334	32
Nckap5l	4854	350
Tmem151a	3962	3852
H2-K1	1660	40585
Eea1	7836	5947
Megf10	7514	457
Limch1	6667	12
Utp14b	3981	623
Ccdc9b	4716	2301
Pi4ka	6663	6840
Kdm2a	7265	13414
Nat8l	6529	10
Nol4l	6523	2370
Gp1bb	2085	32
2610507B11Rik	7443	27901
Panx2	3412	6
Zfp948	2843	1177
Lmna	3362	89234
Hspa2	2681	2999
Tdrd1	5443	0
Rpl17	775	58361
Tmem158	1733	2669
Adgrg6	6505	3467
Tro	7245	10
Smg6	5817	3902
Ccin	2030	0
Defb22	625	0
Pram1	2313	77
Fbxl12	2699	953
Nlrp14	3282	0
AI413582	637	935
Bfsp2	1606	0
Atg9b	3902	1874
Sirpb1a	1232	2
Higd1c	506	0
Penk	1593	163
Nup85	2159	4445
Igfl3	575	0
Try5	801	5
Zfp457	2116	9
Krt77	2931	0
Krt87	1826	36
Gm5414	1723	0
Pcdhac1	5296	0
Pcdhac2	5719	2
Ghrhr	1598	0
Osbpl8	7152	1956
Ralgapa1	9773	4491
Erbb2	4998	6585
Kcnq2	8485	2
Masp2	3217	0
Tardbp	7454	17813
Cltc	6539	28825
Ankib1	6781	3821
Ttc41	5031	52
Adamts7	5472	1433
Arhgef11	6831	5887
Mars1	2963	3902
Slc5a12	5191	0
Zc4h2	2256	212
Atg9a	4107	3025
Usp7	5427	12556
Ddx11	4240	1366
Brsk1	3184	109
Rtn3	5038	19312
Cyp4x1	3985	2
Pid1	2667	158
Tmem259	2225	6385
Rab3ip	2863	2266
Ces5a	2188	0
Sval3	550	0
Kdm2b	5450	1871
Rab11fip5	6124	9703
Dnmt3b	4327	171
Senp7	8000	1660
Ppp3r2	2985	0
Fam170a	1402	0
Crtc1	5674	1974
Zfp386	4678	2000
Zfp619	5964	223
Ckap2	2601	2104
Cyp2j11	1934	0
Nlrp1a	4806	14
Usp22	4442	13961
Git1	3774	7975
Nlrp4g	2574	0
Fbll1	1505	0
Slc13a5	3485	0
Zfp366	2758	16
A4galt	2130	385
Rtp1	3120	2
Psg22	1880	0
AU018091	3448	0
Rragb	2281	60
9930012K11Rik	1986	338
Scarf1	2884	104
Gm5142	626	0
Clec4b2	1044	2
Gnptab	5342	5868
Sgpp2	3998	985
AA467197	640	541
Maml3	6512	1964
Celsr2	10628	447
Frg2f1	1902	53
Fam222a	2693	5
Tmem178b	12018	4
Slc28a1	2846	0
Whamm	3069	1157
Rexo5	2663	347
Zfp560	4732	588
Gm5617	633	205
BC048562	687	0
Rhox8	1202	0
Nlrp4e	3382	0
Amigo1	5586	816
Cntnap2	7139	0
Gprasp1	5959	1022
Tpgs2	6805	631
2610008E11Rik	4229	680
Nuak1	5634	624
Asap2	5679	10955
Actr3b	2114	46
Scube3	7107	49
Cxxc4	5618	247
Pik3r6	3513	64
Wapl	6351	10726
Cys1	1838	862
Tacc2	9622	4894
Pigu	1621	2363
Gpr158	7141	2
Pla2g4c	3485	38
Znhit3	1096	541
Olfr1197	945	0
Olfr1200	1011	0
Olfr1024	984	0
Dbx1	2077	0
Hps5	4807	1552
Ypel2	4902	1321
Ypel4	752	28
Sp9	2813	0
Zfp960	2680	110
Spin2c	1306	44
Pramel26	1909	0
Ado	4445	2294
Ppp1r26	5805	68
Jaml	2458	113
Stmnd1	1363	0
Mreg	3530	59
Ajm1	4684	10
Zfp663	3458	0
Zcwpw1	2456	222
Iqsec2	6200	573
Barhl2	2314	0
Olfr132	942	0
Olfr111	1041	2
Olfr467	921	0
Txlna	4948	5106
Smg7	6181	5988
Arhgap30	4487	334
Eif2a	2299	8955
Syne2	21718	22148
Lmtk3	5102	59
Olfr231	924	0
Olfr194	921	0
Rsrc2	2556	5860
Olfr1281	918	0
Olfr366	930	0
Olfr707	924	0
Aebp2	8157	9183
Itgb4	6169	24730
Phactr1	5973	29
Parl	1322	4529
Patj	8828	1801
Zfp69	2364	100
Mcoln2	2666	133
Aga	1290	1712
Gm609	2122	2
Ifit3b	2013	278
Rpl34	689	475
Clec4a4	1092	0
Mtus1	7412	1557
Zmiz2	4053	6608
Erbin	6664	21001
Zbtb9	2784	745
Epb41l1	9051	3832
Pramel25	1838	0
Phactr3	5700	0
Adam22	9451	72
Tdpoz2	1145	0
Clec3a	2930	0
Taar2	1020	0
Dusp13	2597	20
Zdhhc23	5864	84
Gsdma3	2200	2
Pabpn1l	1144	0
Spag8	1667	3
Rffl	4242	1173
Noto	1602	0
Slc7a6os	1533	3231
Zfp251	3504	1276
Pnmal1	4090	0
Slc25a42	3172	238
D8Ertd738e	661	4612
Trpv5	2600	0
Maneal	2727	2
Zfp58	2359	475
Gucy2f	9998	0
Tceanc	4047	405
Armcx6	2034	32
Pramel20	2103	0
Fndc3c1	4812	0
Trp53rka	1868	839
Defa39	500	0
Best3	2719	0
Gm11541	1681	0
Akirin2	1719	3602
Rtn1	3917	18
Rtp2	2428	0
Daam2	6045	59
Asap3	5618	117
Plekhn1	2210	606
Bnip2	6138	6978
Aox2	4776	16
Cdh12	5639	0
Nol10	2986	1962
Scaf1	4177	7863
Ccdc177	4399	2
Cdsn	2757	204
Thoc6	1539	1377
Teddm1b	2527	4
Zfp975	3145	155
Fbxw20	1511	0
Taar3	1032	0
P2ry14	2571	50
Wdr34	1800	1099
Taar4	1044	0
Zfp760	4209	648
Bbs12	2434	1106
Zc3h14	4184	6979
Adora1	5819	84
Mxi1	3813	4938
1700001J03Rik	778	11
Pde2a	4987	327
Zfp658	3381	232
Zfyve26	9368	2889
Il4ra	5219	12147
Dab2	4628	1647
Bud31	974	2194
Calm5	549	0
Kbtbd8	4732	118
Whrn	4406	244
Tmem232	2756	0
Adam6b	2271	0
Naaladl1	2689	54
