Geneid	Length	genome_mapping/Low_6556c3.rep5.RNAseq.mm10.sorted.bam
Zfp85	2286	245
Scap	4288	6096
Zfp458	5455	182
Fbxo41	6678	14
Taf9b	2665	425
BC051142	1969	4
Ccdc148	4004	91
A2ml1	4698	48
Zfp941	3909	10
BC031181	1209	5706
Baz2b	7980	3648
Tmem204	1779	418
Primpol	3835	1066
BC048507	598	0
Zfp456	4079	194
Zfp738	4504	944
Dis3l	3970	1978
Thnsl1	4043	792
Itga8	5845	76
Pramel4	2409	0
Tbx10	1778	5
Slc35d2	2276	1094
Adamts13	5026	17
Denn2b	4526	901
Vkorc1l1	4919	4158
Cstdc6	387	0
Hexdc	2379	662
Spag6	1651	8
Plekha8	6988	1379
Defb29	405	0
Trpv1	3587	5
Cyp2c23	2197	182
Zscan22	3507	421
AF067063	886	2
Ssxb2	929	0
Tas2r138	996	0
Tas2r143	882	8
Tas2r144	960	0
Ttyh1	3057	32
Atp8b1	6440	1166
Mfsd4b5	5981	18
Oxgr1	3732	0
Tpm4	2099	76051
Lca5l	3170	121
Wdr83os	699	3295
Tnip3	3769	962
Gja6	2017	6
Usp17ld	1638	0
Chpf	3235	5881
Dab2ip	7509	6810
Prss48	1187	11
Sohlh1	1287	6
Nsd3	13244	9364
Zfp950	10561	1774
Itprip	3986	3324
Zfp239	3282	2673
Prrxl1	3924	0
Atp11c	6169	2668
Spink7	319	0
Ephx4	1548	73
Olfr576	939	0
Zfp36l2	3533	50632
Olfr279	933	0
Olfr221	936	0
Olfr218	942	0
Olfr1206	924	0
Mpzl1	2361	3311
2510009E07Rik	5164	1314
Rtel1	4559	2959
Hecw2	11334	279
Nckap5l	4854	774
Tmem151a	3962	3907
H2-K1	1660	34953
Eea1	7836	8896
Megf10	7514	316
Limch1	6667	331
Utp14b	3981	933
Ccdc9b	4716	3699
Pi4ka	6663	7280
Kdm2a	7265	14049
Nat8l	6529	34
Nol4l	6523	3071
Gp1bb	2085	54
2610507B11Rik	7443	31171
Panx2	3412	0
Zfp948	2843	1923
Lmna	3362	102914
Hspa2	2681	1467
Tdrd1	5443	0
Rpl17	775	72330
Tmem158	1733	2823
Adgrg6	6505	3205
Tro	7245	92
Smg6	5817	4579
Ccin	2030	8
Defb22	625	0
Pram1	2313	393
Fbxl12	2699	1036
Nlrp14	3282	0
AI413582	637	968
Bfsp2	1606	0
Atg9b	3902	4639
Sirpb1a	1232	179
Higd1c	506	0
Penk	1593	514
Nup85	2159	5873
Igfl3	575	0
Try5	801	22
Zfp457	2116	12
Krt77	2931	0
Krt87	1826	85
Gm5414	1723	1
Pcdhac1	5296	0
Pcdhac2	5719	16
Ghrhr	1598	0
Osbpl8	7152	3485
Ralgapa1	9773	5395
Erbb2	4998	5053
Kcnq2	8485	5
Masp2	3217	203
Tardbp	7454	23324
Cltc	6539	41035
Ankib1	6781	5523
Ttc41	5031	110
Adamts7	5472	1100
Arhgef11	6831	5917
Mars1	2963	6458
Slc5a12	5191	0
Zc4h2	2256	238
Atg9a	4107	4038
Usp7	5427	14996
Ddx11	4240	1721
Brsk1	3184	137
Rtn3	5038	23872
Cyp4x1	3985	8
Pid1	2667	1094
Tmem259	2225	8840
Rab3ip	2863	2603
Ces5a	2188	0
Sval3	550	0
Kdm2b	5450	2274
Rab11fip5	6124	10283
Dnmt3b	4327	197
Senp7	8000	1794
Ppp3r2	2985	0
Fam170a	1402	0
Crtc1	5674	1995
Zfp386	4678	2639
Zfp619	5964	244
Ckap2	2601	3344
Cyp2j11	1934	0
Nlrp1a	4806	169
Usp22	4442	12254
Git1	3774	9153
Nlrp4g	2574	0
Fbll1	1505	0
Slc13a5	3485	32
Zfp366	2758	123
A4galt	2130	666
Rtp1	3120	4
Psg22	1880	3
AU018091	3448	2
Rragb	2281	51
9930012K11Rik	1986	639
Scarf1	2884	353
Gm5142	626	0
Clec4b2	1044	4
Gnptab	5342	6271
Sgpp2	3998	558
AA467197	640	2073
Maml3	6512	2157
Celsr2	10628	337
Frg2f1	1902	94
Fam222a	2693	12
Tmem178b	12018	8
Slc28a1	2846	5
Whamm	3069	1646
Rexo5	2663	458
Zfp560	4732	602
Gm5617	633	305
BC048562	687	0
Rhox8	1202	0
Nlrp4e	3382	0
Amigo1	5586	738
Cntnap2	7139	16
Gprasp1	5959	1069
Tpgs2	6805	1129
2610008E11Rik	4229	893
Nuak1	5634	870
Asap2	5679	13013
Actr3b	2114	87
Scube3	7107	41
Cxxc4	5618	99
Pik3r6	3513	518
Wapl	6351	10882
Cys1	1838	796
Tacc2	9622	6437
Pigu	1621	3171
Gpr158	7141	6
Pla2g4c	3485	64
Znhit3	1096	885
Olfr1197	945	0
Olfr1200	1011	0
Olfr1024	984	0
Dbx1	2077	4
Hps5	4807	2220
Ypel2	4902	1344
Ypel4	752	27
Sp9	2813	2
Zfp960	2680	109
Spin2c	1306	40
Pramel26	1909	0
Ado	4445	3638
Ppp1r26	5805	46
Jaml	2458	1479
Stmnd1	1363	0
Mreg	3530	450
Ajm1	4684	26
Zfp663	3458	0
Zcwpw1	2456	215
Iqsec2	6200	932
Barhl2	2314	0
Olfr132	942	0
Olfr111	1041	7
Olfr467	921	0
Txlna	4948	6769
Smg7	6181	7450
Arhgap30	4487	2299
Eif2a	2299	9409
Syne2	21718	18877
Lmtk3	5102	79
Olfr231	924	1
Olfr194	921	0
Rsrc2	2556	6973
Olfr1281	918	0
Olfr366	930	0
Olfr707	924	0
Aebp2	8157	9259
Itgb4	6169	21548
Phactr1	5973	80
Parl	1322	5327
Patj	8828	1661
Zfp69	2364	127
Mcoln2	2666	402
Aga	1290	1930
Gm609	2122	4
Ifit3b	2013	392
Rpl34	689	427
Clec4a4	1092	10
Mtus1	7412	2427
Zmiz2	4053	7155
Erbin	6664	17965
Zbtb9	2784	1058
Epb41l1	9051	3063
Pramel25	1838	0
Phactr3	5700	0
Adam22	9451	202
Tdpoz2	1145	4
Clec3a	2930	0
Taar2	1020	0
Dusp13	2597	38
Zdhhc23	5864	142
Gsdma3	2200	0
Pabpn1l	1144	1
Spag8	1667	6
Rffl	4242	1812
Noto	1602	0
Slc7a6os	1533	3735
Zfp251	3504	1268
Pnmal1	4090	0
Slc25a42	3172	483
D8Ertd738e	661	6036
Trpv5	2600	0
Maneal	2727	3
Zfp58	2359	628
Gucy2f	9998	2
Tceanc	4047	462
Armcx6	2034	113
Pramel20	2103	2
Fndc3c1	4812	0
Trp53rka	1868	1145
Defa39	500	0
Best3	2719	15
Gm11541	1681	0
Akirin2	1719	4864
Rtn1	3917	86
Rtp2	2428	0
Daam2	6045	234
Asap3	5618	433
Plekhn1	2210	1113
Bnip2	6138	10228
Aox2	4776	3
Cdh12	5639	0
Nol10	2986	2548
Scaf1	4177	7520
Ccdc177	4399	0
Cdsn	2757	146
Thoc6	1539	1535
Teddm1b	2527	1
Zfp975	3145	188
Fbxw20	1511	0
Taar3	1032	0
P2ry14	2571	376
Wdr34	1800	1514
Taar4	1044	0
Zfp760	4209	788
Bbs12	2434	1445
Zc3h14	4184	9755
Adora1	5819	157
Mxi1	3813	5402
1700001J03Rik	778	3
Pde2a	4987	1883
Zfp658	3381	279
Zfyve26	9368	4104
