Geneid	Length	genome_mapping/High.2838c3.rep1.RNAseq.mm10.sorted.bam
Zfp85	2286	426
Scap	4288	8682
Zfp458	5455	280
Fbxo41	6678	42
Taf9b	2665	447
BC051142	1969	4
Ccdc148	4004	146
A2ml1	4698	377
Zfp941	3909	55
BC031181	1209	8193
Baz2b	7980	7287
Tmem204	1779	726
Primpol	3835	1834
BC048507	598	2
Zfp456	4079	166
Zfp738	4504	966
Dis3l	3970	2376
Thnsl1	4043	1859
Itga8	5845	104
Pramel4	2409	0
Tbx10	1778	0
Slc35d2	2276	2013
Adamts13	5026	99
Denn2b	4526	2712
Vkorc1l1	4919	5998
Cstdc6	387	18
Hexdc	2379	1521
Spag6	1651	37
Plekha8	6988	2091
Defb29	405	0
Trpv1	3587	0
Cyp2c23	2197	1265
Zscan22	3507	841
AF067063	886	2
Ssxb2	929	0
Tas2r138	996	0
Tas2r143	882	4
Tas2r144	960	0
Ttyh1	3057	106
Atp8b1	6440	2631
Mfsd4b5	5981	16
Oxgr1	3732	0
Tpm4	2099	87797
Lca5l	3170	163
Wdr83os	699	4153
Tnip3	3769	1239
Gja6	2017	24
Usp17ld	1638	0
Chpf	3235	6740
Dab2ip	7509	13791
Prss48	1187	36
Sohlh1	1287	0
Nsd3	13244	13746
Zfp950	10561	3109
Itprip	3986	4142
Zfp239	3282	2038
Prrxl1	3924	0
Atp11c	6169	4796
Spink7	319	0
Ephx4	1548	147
Olfr576	939	0
Zfp36l2	3533	44459
Olfr279	933	0
Olfr221	936	0
Olfr218	942	0
Olfr1206	924	0
Mpzl1	2361	7899
2510009E07Rik	5164	1381
Rtel1	4559	4159
Hecw2	11334	653
Nckap5l	4854	979
Tmem151a	3962	3850
H2-K1	1660	23170
Eea1	7836	14901
Megf10	7514	1667
Limch1	6667	2253
Utp14b	3981	1085
Ccdc9b	4716	10470
Pi4ka	6663	10660
Kdm2a	7265	23535
Nat8l	6529	122
Nol4l	6523	6603
Gp1bb	2085	106
2610507B11Rik	7443	42099
Panx2	3412	2
Zfp948	2843	2495
Lmna	3362	92888
Hspa2	2681	2487
Tdrd1	5443	30
Rpl17	775	73352
Tmem158	1733	3254
Adgrg6	6505	5404
Tro	7245	194
Smg6	5817	6443
Ccin	2030	16
Defb22	625	0
Pram1	2313	272
Fbxl12	2699	1306
Nlrp14	3282	0
AI413582	637	2106
Bfsp2	1606	0
Atg9b	3902	7707
Sirpb1a	1232	158
Higd1c	506	0
Penk	1593	1254
Nup85	2159	5087
Igfl3	575	0
Try5	801	274
Zfp457	2116	30
Krt77	2931	2
Krt87	1826	189
Gm5414	1723	0
Pcdhac1	5296	6
Pcdhac2	5719	2
Ghrhr	1598	6
Osbpl8	7152	5274
Ralgapa1	9773	5415
Erbb2	4998	6736
Kcnq2	8485	5
Masp2	3217	1462
Tardbp	7454	29490
Cltc	6539	49746
Ankib1	6781	8676
Ttc41	5031	262
